slack	requirement	datapath_delay	logic_levels	startpoint	endpoint	endpoint_pin_type	start_clock	end_clock	start_slr	end_slr
-0.063	3.332	3.465	0	u_camera_hdmi/u_camera_subsystem/g_camera_frontend[1].capture_resetn_local_sync_reg[1]/C	u_camera_hdmi/u_camera_subsystem/g_camera_frontend[1].u_camera/pclk_snapshot_video_reg[590]/R	R	mmcm_clkout0	mmcm_clkout0	SLR2	SLR2
-0.063	3.332	3.465	0	u_camera_hdmi/u_camera_subsystem/g_camera_frontend[1].capture_resetn_local_sync_reg[1]/C	u_camera_hdmi/u_camera_subsystem/g_camera_frontend[1].u_camera/pclk_snapshot_video_reg[592]/R	R	mmcm_clkout0	mmcm_clkout0	SLR2	SLR2
-0.040	1.500	1.565	0	u_camera_hdmi/u_camera_subsystem/g_camera_frontend[0].u_camera/dvp_href_iob_reg/C	u_camera_hdmi/u_camera_subsystem/g_camera_frontend[0].u_camera/dvp_href_sync_reg/D	D	mmcm_clkout0	mmcm_clkout0	SLR3	SLR3
-0.039	3.332	3.190	0	u_camera_hdmi/u_camera_subsystem/g_camera_frontend[0].capture_resetn_local_sync_reg[1]/C	u_camera_hdmi/u_camera_subsystem/g_camera_frontend[0].u_camera/dvp_vsync_sync_reg/R	R	mmcm_clkout0	mmcm_clkout0	SLR2	SLR3
-0.021	1.500	1.546	0	u_camera_hdmi/u_camera_subsystem/g_camera_frontend[1].u_camera/dvp_pclk_iob_reg/C	u_camera_hdmi/u_camera_subsystem/g_camera_frontend[1].u_camera/dvp_pclk_sync_reg/D	D	mmcm_clkout0	mmcm_clkout0	SLR3	SLR3
-0.017	3.332	3.143	11	u_camera_hdmi/u_camera_subsystem/g_camera_frontend[6].u_camera/u_pclk_recovery/expected_phase_fp_reg[0]/C	u_camera_hdmi/u_camera_subsystem/g_camera_frontend[6].u_camera/u_pclk_recovery/lock_score_reg[1]/CE	CE	mmcm_clkout0	mmcm_clkout0	SLR1	SLR1
-0.017	3.332	3.144	11	u_camera_hdmi/u_camera_subsystem/g_camera_frontend[6].u_camera/u_pclk_recovery/expected_phase_fp_reg[0]/C	u_camera_hdmi/u_camera_subsystem/g_camera_frontend[6].u_camera/u_pclk_recovery/lock_score_reg[4]/CE	CE	mmcm_clkout0	mmcm_clkout0	SLR1	SLR1
-0.017	3.332	3.416	0	u_camera_hdmi/u_camera_subsystem/g_camera_frontend[1].capture_resetn_local_sync_reg[1]/C	u_camera_hdmi/u_camera_subsystem/g_camera_frontend[1].u_camera/pclk_snapshot_video_reg[404]/R	R	mmcm_clkout0	mmcm_clkout0	SLR2	SLR2
-0.017	3.332	3.416	0	u_camera_hdmi/u_camera_subsystem/g_camera_frontend[1].capture_resetn_local_sync_reg[1]/C	u_camera_hdmi/u_camera_subsystem/g_camera_frontend[1].u_camera/pclk_snapshot_video_reg[435]/R	R	mmcm_clkout0	mmcm_clkout0	SLR2	SLR2
-0.015	1.500	1.540	0	u_camera_hdmi/u_camera_subsystem/g_camera_frontend[0].u_camera/dvp_vsync_iob_reg/C	u_camera_hdmi/u_camera_subsystem/g_camera_frontend[0].u_camera/dvp_vsync_sync_reg/D	D	mmcm_clkout0	mmcm_clkout0	SLR3	SLR3
